address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
170 Stirling Road,https://www.99.co/singapore/sale/property/170-stirling-road-hdb-oyheurkSjxrVtiYB94nCgY?enquiry_position=106&enquiry_source=Search,"$375,000",2,2,69.95,1970,2020-07-18 17:01:43.228176
225 Simei Street 4,https://www.99.co/singapore/sale/property/225-simei-street-4-hdb-z4ekhoUS43aRizHanEwmxB?enquiry_position=107&enquiry_source=Search,"$445,000",3,2,103.95,1988,2020-07-18 17:01:43.228176
105 Simei Street 1,https://www.99.co/singapore/sale/property/105-simei-street-1-hdb-ijWUE6HMbUfqFbKikMwBHe?enquiry_position=108&enquiry_source=Search,"$699,000",4,3,145.95,1988,2020-07-18 17:01:43.228176
88 Dawson Road,https://www.99.co/singapore/sale/property/88-dawson-road-hdb-gdPYga3AMYUm9zZTGX8jWj?enquiry_position=109&enquiry_source=Search,"$968,000",3,2,86.95,,2020-07-18 17:01:43.228176
490A Choa Chu Kang Avenue 5,https://www.99.co/singapore/sale/property/490a-choa-chu-kang-avenue-5-hdb-8ZrqShHt9KpeNiw6yk9HZP?enquiry_position=110&enquiry_source=Search,"$345,000",2,2,68.00,,2020-07-18 17:01:43.228176
672A Edgefield Plains,https://www.99.co/singapore/sale/property/672a-edgefield-plains-hdb-DsyCcWHGdmva3VE3dL6NEf?enquiry_position=111&enquiry_source=Search,"$365,000",2,2,65.03,,2020-07-18 17:01:43.228176
454 Tampines Street 42,https://www.99.co/singapore/sale/property/454-tampines-street-42-hdb-tpJjSAZrPiddbHmzm3yRcb?enquiry_position=112&enquiry_source=Search,"$748,000",4,3,131.92,1987,2020-07-18 17:01:43.228176
672B Edgefield Plains,https://www.99.co/singapore/sale/property/672b-edgefield-plains-hdb-Q9prNTF4pkUkPFddfw6YZC?enquiry_position=114&enquiry_source=Search,"$370,000",2,2,65.03,,2020-07-18 17:01:43.228176
313B Sumang Link,https://www.99.co/singapore/sale/property/313b-sumang-link-hdb-6inGaxejvx6yTNS23CLTfU?enquiry_position=115&enquiry_source=Search,"$499,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
515C Tampines Central 7,https://www.99.co/singapore/sale/property/515c-tampines-central-7-hdb-tbP79Yoeg3i4woA4rJ9Xg6?enquiry_position=116&enquiry_source=Search,"$820,000",3,2,112.97,2008,2020-07-18 17:01:43.228176
