address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
489B Choa Chu Kang Avenue 5,https://www.propertyguru.com.sg/listing/hdb-for-sale-489b-choa-chu-kang-avenue-5-22362724,"515,000",4 ,2 ,1216,47m,2015,2020-07-15 17:14:41.615238
664B Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-664b-punggol-drive-22373405,"455,000",3 ,2 ,968,47m,2015,2020-07-15 17:14:41.615238
55 Strathmore Avenue,https://www.propertyguru.com.sg/listing/hdb-for-sale-55-strathmore-avenue-22085895,"640,000",3 ,2 ,1023,47m,2000,2020-07-15 17:14:41.615238
807C Chai Chee Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-807c-chai-chee-road-22958032,"780,000",3 ,2 ,1216,47m,2015,2020-07-15 17:14:41.615238
139B Lorong 1A Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-139b-lorong-1a-toa-payoh-22909651,"950,000",3 ,2 ,1184,48m,2012,2020-07-15 17:14:41.615238
670B Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-670b-edgefield-plains-22990150,"499,999",3 ,2 ,1001,49m,2015,2020-07-15 17:14:41.615238
74 Marine Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-74-marine-drive-22030279,"450,000",3 ,2 ,883,49m,1975,2020-07-15 17:14:41.615238
714 Ang Mo Kio Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-714-ang-mo-kio-avenue-6-22960953,"590,000",3 ,2 ,1280,49m,1979,2020-07-15 17:14:41.615238
313C Sumang Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-313c-sumang-link-22871303,"500,000",3 ,2 ,990,49m,2014,2020-07-15 17:14:41.615238
210A Punggol Place,https://www.propertyguru.com.sg/listing/hdb-for-sale-210a-punggol-place-22854502,"445,000",3 ,2 ,990,50m,2013,2020-07-15 17:14:41.615238
782 Pasir Ris Street 71,https://www.propertyguru.com.sg/listing/hdb-for-sale-782-pasir-ris-street-71-22998041,"645,000",4 ,2 ,1539,50m,1995,2020-07-15 17:14:41.615238
673B Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-673b-edgefield-plains-22703647,"478,000",3 ,2 ,969,50m,2015,2020-07-15 17:14:41.615238
9B Boon Tiong Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-9b-boon-tiong-road-22994929,"998,000",3 ,2 ,979,51m,2014,2020-07-15 17:14:41.615238
475B Upper Serangoon Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-475b-upper-serangoon-crescent-22272010,"645,000",3 ,2 ,990,51m,2014,2020-07-15 17:14:41.615238
172C Edgedale Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-172c-edgedale-plains-22107531,"510,000",3 ,2 ,1184,53m,2003,2020-07-15 17:14:41.615238
308C Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308c-punggol-walk-22884988,"438,000",2 ,2 ,732,54m,2015,2020-07-15 17:14:41.615238
142 Bishan Street 12,https://www.propertyguru.com.sg/listing/hdb-for-sale-142-bishan-street-12-22760464,"728,000",4 ,2 ,1291,54m,1987,2020-07-15 17:14:41.615238
310C Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310c-punggol-walk-22701773,"568,000",3 ,2 ,990,54m,2015,2020-07-15 17:14:41.615238
498E Tampines Street 45,https://www.propertyguru.com.sg/listing/hdb-for-sale-498e-tampines-street-45-22342463,"508,000",4 ,2 ,1334,54m,1995,2020-07-15 17:14:41.615238
615 Choa Chu Kang Street 62,https://www.propertyguru.com.sg/listing/hdb-for-sale-615-choa-chu-kang-street-62-22257599,"375,000",3 ,2 ,1111,54m,1994,2020-07-15 17:14:41.615238
535 Bukit Batok Street 52,https://www.propertyguru.com.sg/listing/hdb-for-sale-535-bukit-batok-street-52-22234732,"750,000",4 ,3 ,1570,54m,1986,2020-07-15 17:14:41.615238
354 Bukit Batok Street 31,https://www.propertyguru.com.sg/listing/hdb-for-sale-354-bukit-batok-street-31-22148367,"535,000",4 ,2 ,1592,54m,1986,2020-07-15 17:14:41.615238
258A Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-258a-punggol-field-22973660,"489,898",3 ,2 ,1001,55m,2014,2020-07-15 17:14:41.615238
59C Geylang Bahru,https://www.propertyguru.com.sg/listing/hdb-for-sale-59c-geylang-bahru-23002685,"648,000",3 ,2 ,118,55m,1997,2020-07-15 17:14:41.615238
265 Tampines Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-265-tampines-street-21-22977678,"461,000",3 ,2 ,1107,56m,1983,2020-07-15 17:14:41.615238
807A Chai Chee Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-807a-chai-chee-road-22362917,"485,000",2 ,2 ,731,56m,2015,2020-07-15 17:14:41.615238
296 Punggol Central,https://www.propertyguru.com.sg/listing/hdb-for-sale-296-punggol-central-22256280,"488,000",3 ,2 ,1184,57m,2002,2020-07-15 17:14:41.615238
656C Jurong West Street 61,https://www.propertyguru.com.sg/listing/hdb-for-sale-656c-jurong-west-street-61-22998170,"480,000",3 ,2 ,1205,57m,2000,2020-07-15 17:14:41.615238
459 Clementi Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-459-clementi-avenue-3-22751593,"805,000",3 ,2 ,1184,57m,2001,2020-07-15 17:14:41.615238
415C Fernvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-415c-fernvale-link-22998106,"620,000",3 ,2 ,1205,58m,2014,2020-07-15 17:14:41.615238
668A Jurong West Street 64,https://www.propertyguru.com.sg/listing/hdb-for-sale-668a-jurong-west-street-64-22076181,"400,000",3 ,2 ,925,58m,1998,2020-07-15 17:14:41.615238
112 Commonwealth Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-112-commonwealth-crescent-21850731,"250,000",3 ,1 ,646,59m,1964,2020-07-15 17:14:41.615238
92 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-92-dawson-road-22502464,"988,000",3 ,2 ,1044,59m,2015,2020-07-15 17:14:41.615238
86 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-86-dawson-road-22641006,"935,000",3 ,2 ,893,59m,2015,2020-07-15 17:14:41.615238
202 Clementi Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-202-clementi-avenue-6-22297789,"480,000",3 ,2 ,1001,59m,1984,2020-07-15 17:14:41.615238
232B Sumang Lane,https://www.propertyguru.com.sg/listing/hdb-for-sale-232b-sumang-lane-22882047,"650,000",3 ,2 ,1216,1h,2017,2020-07-15 17:14:41.615238
424 Canberra Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-424-canberra-road-23000141,"425,000",3 ,2 ,1184,1h,1999,2020-07-15 17:14:41.615238
1 Lorong 7 Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-1-lorong-7-toa-payoh-22977507,"248,000",2 ,1 ,721,1h,1968,2020-07-15 17:14:41.615238
3A Holland Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-3a-holland-close-22873168,"788,000",3 ,2 ,1140,1h,1997,2020-07-15 17:14:41.615238
9 Cantonment Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-cantonment-close-22900469,"850,000",3 ,2 ,1184,1m,2000,2020-07-15 17:14:41.615238
503 Jelapang Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-503-jelapang-road-22345202,"685,000",3 ,3 ,1550,1h,1996,2020-07-15 17:14:41.615238
120 Kim Tian Place,https://www.propertyguru.com.sg/listing/hdb-for-sale-120-kim-tian-place-22952892,"840,000",3 ,2 ,1087,1h,1999,2020-07-15 17:14:41.615238
475D Upper Serangoon Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-475d-upper-serangoon-crescent-23002244,"649,000",3 ,2 ,990,1h,2014,2020-07-15 17:14:41.615238
12 Dover Close East,https://www.propertyguru.com.sg/listing/hdb-for-sale-12-dover-close-east-22220631,"800,000",3 ,2 ,1259,1h,1977,2020-07-15 17:14:41.615238
54 Chai Chee Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-54-chai-chee-street-22208928,"398,000",3 ,2 ,980,1h,1980,2020-07-15 17:14:41.615238
471A Fernvale Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-471a-fernvale-street-22952437,"438,000",3 ,2 ,1001,1h,2015,2020-07-15 17:14:41.615238
144 Lorong 2 Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-144-lorong-2-toa-payoh-22046521,"690,000",3 ,2 ,968,1h,2000,2020-07-15 17:14:41.615238
522C Tampines Central 7,https://www.propertyguru.com.sg/listing/hdb-for-sale-522c-tampines-central-7-23002583,"585,000",3 ,2 ,1001,1h,2014,2020-07-15 17:14:41.615238
347B Yishun Avenue 11,https://www.propertyguru.com.sg/listing/hdb-for-sale-347b-yishun-avenue-11-22977839,"510,000",3 ,2 ,990,1h,2013,2020-07-15 17:14:41.615238
269 Tampines Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-269-tampines-street-21-22953960,"340,000",2 ,2 ,807,1h,1982,2020-07-15 17:14:41.615238
715 Yishun Street 71,https://www.propertyguru.com.sg/listing/hdb-for-sale-715-yishun-street-71-22977806,"415,000",3 ,2 ,1313,1h,1985,2020-07-15 17:14:41.615238
548B Segar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-548b-segar-road-22418111,"425,000",3 ,2 ,990,1h,2014,2020-07-15 17:14:41.615238
352 Woodlands Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-352-woodlands-avenue-1-22675436,"490,000",3 ,2 ,1334,1h,1996,2020-07-15 17:14:41.615238
138B Lorong 1A Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-138b-lorong-1a-toa-payoh-22291112,"899,000",3 ,2 ,980,1h,2012,2020-07-15 17:14:41.615238
